u	du_dxi1	du_dxi2	d2u_dxi1xi2	du_dxi3	d2u_dxi2dxi3	d2u_dxi1dxi3	d3u_dxi	Coord	Node	Element
1.627123	0.450944	0.062556	0.739302	-0.231261	-0.263833	0.098351	1.305556	3	5	3
-2.100680	-0.112632	0.363334	0.108634	0.491692	-0.005353	-0.100509	0.098300	1	6	3
-0.668572	0.350259	-0.583000	0.134487	0.424329	0.023970	0.074946	0.370163	2	6	3
2.100967	0.475743	0.454019	0.397075	-0.120674	-0.263042	0.081533	0.209181	3	6	3
-1.866684	0.056602	0.122572	0.003325	0.620728	0.141822	0.131781	-0.270876	1	7	3
-1.636858	0.225021	-0.606452	-0.179446	0.380046	0.059997	-0.168521	-0.452129	2	7	3
1.736149	0.854781	0.152577	0.364673	-0.412109	-0.138228	-0.029866	-0.201771	3	7	3
-1.801998	0.063020	0.246237	0.192855	0.613745	0.197213	-0.293567	-0.196323	1	8	3
-1.292245	0.436126	-0.653738	0.039087	0.548537	0.247766	0.231312	0.134084	2	8	3
2.545551	0.765855	0.434397	0.242044	-0.491291	-0.583461	-0.052022	-0.036642	3	8	3
-2.752848	-0.317197	0.607912	0.087908	0.439509	-0.136148	0.035703	-0.459418	1	1	4
-0.616170	0.395734	-0.549448	0.157136	0.450474	0.036892	0.108845	0.229832	2	1	4
2.756205	0.572951	0.623416	-0.164403	0.033789	0.060450	0.119603	0.172284	3	1	4
-3.175704	-0.494445	0.577151	-0.122245	0.499817	-0.213920	-0.052072	0.034886	1	2	4
-0.343881	0.140867	-0.426415	0.048349	0.626010	0.125754	0.278130	0.045643	2	2	4
3.325070	0.564508	0.431890	-0.220187	0.140653	0.298405	0.050007	0.082189	3	2	4
-2.204540	-0.121002	0.504368	0.314346	0.442330	0.050373	-0.544877	-0.828550	1	3	4
-1.176324	0.671800	-0.562739	0.346262	0.434475	-0.111468	0.226684	0.102633	2	3	4
3.422235	0.417592	0.698211	-0.187487	-0.080647	-0.198680	0.062590	-0.237793	3	3	4
-2.649461	-0.634066	0.481596	-0.173696	0.498291	0.176530	-0.265542	-0.675601	1	4	4
-0.723668	0.172921	-0.336111	0.040420	0.602664	-0.159597	0.378374	-0.037547	2	4	4
3.849792	0.430055	0.594768	-0.054837	0.090370	-0.278447	-0.022789	-0.049627	3	4	4
-2.313339	-0.286520	0.569233	0.135780	0.439509	-0.037297	0.068054	0.399893	1	5	4
-0.165696	0.497705	-0.544615	0.100633	0.450474	-0.001133	0.034832	-0.381530	2	5	4
2.789994	0.677831	0.565619	-0.052436	0.033789	-0.061837	0.114236	0.218500	3	5	4
-2.675886	-0.461405	0.591976	-0.128233	0.499817	0.166843	0.072731	-0.025718	1	6	4
0.282128	0.327591	-0.365668	0.202531	0.626010	0.035678	0.199167	0.371358	2	6	4
3.465722	0.692081	0.426520	-0.199605	0.140653	-0.245122	0.300508	-0.515655	3	6	4
-1.762210	-0.158903	0.540380	0.136907	0.442330	0.057462	0.215795	-0.212271	1	7	4
-0.741849	0.648449	-0.594518	0.201091	0.434475	0.018236	-0.302871	-0.494879	2	7	4
3.341588	0.683659	0.542666	0.041616	-0.080647	-0.153306	0.562102	0.694073	3	7	4
-2.151170	-0.636471	0.472528	-0.204590	0.498291	-0.118967	-0.155650	-0.491835	1	8	4
-0.121004	0.463365	-0.423877	0.087875	0.602664	-0.020559	0.426926	0.183466	2	8	4
3.940162	0.556738	0.510686	-0.080734	0.090370	0.083417	0.196132	0.311169	3	8	4
-3.175704	-0.464120	0.577151	-0.558745	0.499817	-0.213920	0.243579	1.213118	1	1	5
-0.343881	0.100008	-0.426415	0.044133	0.626010	0.125754	-0.042080	0.363977	2	1	5
3.325070	0.523453	0.431890	0.226115	0.140653	0.298405	0.033342	-0.385314	3	1	5
-3.663183	-0.485816	0.042149	-0.861562	0.530404	0.147379	-0.130493	2.232529	1	2	5
-0.361788	-0.084411	-0.414718	0.533434	0.704168	0.178960	0.111021	-2.533200	2	2	5
3.829665	0.499774	0.587245	0.018309	0.181162	-0.141411	-0.002199	0.189354	3	2	5
-2.649461	-0.919581	0.481596	-0.396547	0.498291	0.176530	0.857557	0.619882	1	3	5
-0.723668	0.094472	-0.336111	0.125919	0.602664	-0.159597	0.416463	-0.497368	2	3	5
3.849792	0.657992	0.594768	0.098370	0.090370	-0.278447	-0.283171	-0.518897	3	3	5
-3.624605	-1.064424	0.031638	-0.546089	0.610121	0.023664	0.658732	0.401810	1	4	5
-0.788127	-0.007538	-0.438679	-0.181982	0.823932	0.055474	-0.124280	0.349500	2	4	5
4.408712	0.393852	0.570285	-0.289941	0.045119	-0.110729	0.715583	1.371722	3	4	5
-2.675886	-0.392489	0.591976	-0.409393	0.499817	0.166843	-0.038159	-0.229517	1	5	5
0.282128	0.218211	-0.365668	0.268661	0.626010	0.035678	0.224360	0.557674	2	5	5
3.465722	0.566253	0.426520	0.130286	0.140653	-0.245122	-0.009946	0.568363	3	5	5
-3.132779	-0.486237	0.137780	-0.647244	0.530404	0.044093	0.103274	-0.072097	1	6	5
0.342380	-0.046007	-0.251516	0.312866	0.704168	0.180623	-0.044587	1.613513	2	6	5
4.010827	0.522539	0.472765	-0.051266	0.181162	-0.072686	0.023355	0.192496	3	6	5
-2.151170	-0.729691	0.472528	-0.264291	0.498291	-0.118967	0.161057	0.786500	1	7	5
-0.121004	0.402783	-0.423877	0.150669	0.602664	-0.020559	0.352039	0.012364	2	7	5
3.940162	0.611361	0.510686	0.026095	0.090370	0.083417	0.143824	-0.069770	3	7	5
-3.014483	-0.922348	0.099611	-0.449251	0.610121	0.115209	0.370627	0.539857	1	8	5
0.035805	-0.006355	-0.354465	-0.143333	0.823932	0.093362	0.091995	0.010908	2	8	5
4.453831	0.431441	0.412020	-0.189354	0.045119	-0.238499	-0.211130	-0.711794	3	8	5
-4.202169	-0.404970	0.522477	0.474652	0.449054	0.086361	0.510791	-0.397497	1	1	6
-0.053824	-0.301012	-0.336065	-0.123002	0.578843	0.120715	-0.455693	1.061975	2	1	6
3.814476	0.699973	0.020888	-0.056283	0.251672	-0.112096	0.067697	-0.045056	3	1	6
-4.532076	-0.247159	0.885029	0.248983	0.383425	0.455240	-0.669745	1.162140	1	2	6
-0.540608	-0.644100	-0.310084	0.098604	0.508379	0.320857	0.186082	-0.544123	2	2	6
4.432758	0.515492	0.058218	-0.020996	0.473942	-0.536177	0.345449	0.732573	3	2	6
-3.663183	0.042149	0.539137	0.602906	0.530404	0.084076	0.147379	0.023573	1	3	6
-0.361788	-0.414718	-0.307590	-0.003532	0.704168	0.125029	0.178960	1.646768	2	3	6
3.829665	0.587245	0.019320	-0.573519	0.181162	-0.111853	-0.141411	2.402601	3	3	6
-3.624605	0.031638	0.925154	0.310440	0.610121	0.470175	0.023664	0.744076	1	4	6
-0.788127	-0.438679	-0.073774	0.485477	0.823932	-0.054447	0.055474	-0.948720	2	4	6
4.408712	0.570285	-0.265337	-0.104191	0.045119	0.703465	-0.110729	0.091988	3	4	6
-3.753115	-0.488330	0.593850	0.709933	0.449054	0.104454	-0.677029	1.078584	1	5	6
0.525019	-0.309143	-0.274430	-0.020595	0.578843	-0.146223	0.358947	-0.129203	2	5	6
4.066148	0.932117	-0.012117	-0.413901	0.251672	0.174675	0.297757	0.013970	3	5	6
-4.148651	-0.306056	1.153920	0.472517	0.383425	0.745447	0.439634	1.015170	1	6	6
-0.032228	-0.745127	-0.201370	0.052237	0.508379	-0.594358	-0.318503	-1.131910	2	6	6
4.906699	0.734381	-0.410707	-0.410703	0.473942	0.078042	0.179848	-0.456557	3	6	6
-3.132779	0.137780	0.617528	0.476638	0.530404	0.096360	0.044093	-0.435645	1	7	6
0.342380	-0.251516	-0.180905	-0.082433	0.704168	0.113400	0.180623	-1.722483	2	7	6
4.010827	0.472765	-0.087781	-0.568600	0.181162	-0.143221	-0.072686	-0.557391	3	7	6
-3.014483	0.099611	1.103229	0.472564	0.610121	0.221500	0.115209	0.017820	1	8	6
0.035805	-0.354465	0.083787	0.565025	0.823932	0.186733	0.093362	0.765861	2	8	6
4.453831	0.412020	-0.523790	-0.259461	0.045119	-0.500076	-0.238499	0.120024	3	8	6
-4.844774	-0.663805	0.557581	0.228590	0.464264	0.202480	0.516009	0.191750	1	1	7
0.455230	-0.327116	-0.567010	-0.055909	0.569041	0.083811	-0.141280	-0.067308	2	1	7
3.734866	0.815661	0.256818	-0.016683	0.256479	-0.763012	0.001534	-1.339309	3	1	7
-5.523447	-0.655656	0.861938	0.365423	0.447436	0.420000	-0.563673	-0.433782	1	2	7
-0.125636	-0.774203	-0.611361	-0.046180	0.785816	0.434024	0.231659	0.202494	2	2	7
4.347989	0.409244	0.316826	0.117562	0.801062	-1.369167	0.753849	0.187634	3	2	7
-4.202169	-0.404970	0.688080	0.239125	0.449054	-0.040711	0.510791	0.118959	1	3	7
-0.053824	-0.301012	-0.454029	0.058129	0.578843	-0.026447	-0.455693	-0.653712	2	3	7
3.814476	0.699973	-0.002384	-0.118597	0.251672	0.235259	0.067697	0.091979	3	3	7
-4.532076	-0.247159	1.028286	0.413499	0.383425	-0.045019	-0.669745	-0.221048	1	4	7
-0.540608	-0.644100	-0.321697	0.177854	0.508379	-0.319108	0.186082	0.292932	2	4	7
4.432758	0.515492	-0.004723	0.083735	0.473942	-0.116393	0.345449	-0.579314	3	4	7
-4.380510	-0.717222	0.515988	0.161370	0.464264	-0.423309	-0.358459	-0.645845	1	5	7
