5733	5803	3273
3273	5803	5126
5803	5767	5126
5126	5767	3602
5767	5804	3602
3602	5804	5125
5804	5734	5125
5125	5734	3274
5734	5801	3274
3274	5801	5130
5801	5766	5130
5130	5766	3604
5766	5802	3604
3604	5802	5129
5802	5737	5129
5129	5737	3276
5737	5799	3276
3276	5799	5194
5799	5765	5194
5194	5765	3636
5765	5800	3636
3636	5800	5193
5800	5747	5193
5193	5747	3286
5747	5797	3286
3286	5797	5527
5797	5764	5527
5527	5764	3803
5764	5798	3803
3803	5798	5528
5798	5742	5528
5528	5742	3285
5742	5809	3285
3285	5809	5558
5809	5770	5558
5558	5770	3818
5770	5810	3818
3818	5810	5557
5810	5743	5557
5557	5743	3369
5743	5775	3369
3369	5775	5469
5775	5753	5469
5469	5753	3774
5753	5776	3774
3774	5776	5470
5776	5740	5470
5470	5740	3373
5740	5781	3373
3373	5781	5163
5781	5756	5163
5163	5756	3621
5756	5782	3621
3621	5782	5164
5782	5745	5164
5164	5745	3282
5745	5783	3282
3282	5783	5169
5783	5757	5169
5169	5757	3624
5757	5784	3624
3624	5784	5170
5784	5741	5170
5170	5741	3278
5741	5777	3278
3278	5777	5143
5777	5754	5143
5143	5754	3611
5754	5778	3611
3611	5778	5144
5778	5744	5144
5144	5744	3280
5744	5779	3280
3280	5779	5147
5779	5755	5147
5147	5755	3613
5755	5780	3613
3613	5780	5148
5780	5749	5148
5148	5749	3331
5749	5795	3331
3331	5795	5326
5795	5763	5326
5326	5763	3702
5763	5796	3702
3702	5796	5325
5796	5748	5325
5325	5748	3316
5748	5793	3316
3316	5793	5268
5793	5762	5268
5268	5762	3673
5762	5794	3673
3673	5794	5267
5794	5746	5267
5267	5746	3315
5746	5791	3315
3315	5791	5264
5791	5761	5264
5264	5761	3671
5761	5792	3671
3671	5792	5263
5792	5739	5263
5263	5739	3313
5739	5773	3313
3313	5773	5247
5773	5752	5247
5247	5752	3663
5752	5774	3663
3663	5774	5248
5774	5738	5248
5248	5738	3312
5738	5771	3312
3312	5771	5241
5771	5751	5241
5241	5751	3660
5751	5772	3660
3660	5772	5242
5772	5732	5242
5242	5732	3311
5732	5787	3311
3311	5787	5296
5787	5759	5296
5296	5759	3687
5759	5788	3687
3687	5788	5295
5788	5750	5295
5295	5750	3322
5750	5785	3322
3322	5785	5310
5785	5758	5310
5310	5758	3694
5758	5786	3694
3694	5786	5309
5786	5731	5309
5309	5731	3325
5731	5789	3325
3325	5789	5568
5789	5760	5568
5568	5760	3823
5760	5790	3823
3823	5790	5567
5790	5736	5567
5567	5736	3346
5736	5807	3346
3346	5807	5116
5807	5769	5116
5116	5769	3597
5769	5808	3597
3597	5808	5115
5808	5735	5115
5115	5735	3275
5735	5805	3275
3275	5805	5122
5805	5768	5122
5122	5768	3600
5768	5806	3600
3600	5806	5121
5806	5733	5121
5121	5733	3273
